id_municipio,municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,erro_padrao,residuo,residuo_z,risco
4212239,Paraíso,SC,Sul,31,0.8325786193249652,0.8387096774193549,0.06699940975731804,0.00613105809438963,0.09150913592518571,0.16742138067503476
3203908,Nova Venécia,ES,Sudeste,505,0.8326367729064363,0.8356435643564356,0.016606284121558665,0.0030067914499992687,0.18106347139368656,0.16736322709356366
4320602,Severiano de Almeida,RS,Sul,31,0.8329815406515156,0.3548387096774194,0.06689301884243153,-0.47814283097409627,-7.147873414120774,0.16701845934848436
4319109,São Martinho,RS,Sul,59,0.8331053213785415,0.6440677966101694,0.04851913713786911,-0.1890375247683721,-3.8961435820924484,0.16689467862145846
5215207,Novo Brasil,GO,Centro-Oeste,31,0.8333626578158606,0.5483870967741935,0.0668342597013936,-0.2849755610416671,-4.263914380362694,0.1666373421841394
5204854,Campo Limpo de Goiás,GO,Centro-Oeste,129,0.8336772575190096,0.8527131782945736,0.03277437958172218,0.01903592077556404,0.5808171205224008,0.16632274248099044
4313391,Novo Cabrais,RS,Sul,39,0.833967685279406,0.7692307692307693,0.059559401397186865,-0.06473691604863674,-1.086930266758766,0.166032314720594
2105351,Itaipava do Grajaú,MA,Nordeste,162,0.8339935211479514,0.7283950617283951,0.029046337374002695,-0.10559845941955637,-3.6355172103065225,0.16600647885204856
2501104,Areia,PB,Nordeste,212,0.8339987330397886,0.9056603773584906,0.02553853898228541,0.07166164431870203,2.8060197323116065,0.16600126696021145
4101150,Ângulo,PR,Sul,43,0.8340259118125041,0.8604651162790697,0.05672478840382451,0.02643920446656567,0.46609613205332084,0.16597408818749593
2300754,Amontada,CE,Nordeste,669,0.8341885372747863,0.8251121076233184,0.01436573409211334,-0.009076429651467821,-0.6318110577064558,0.16581146272521374
4301701,Barão de Cotegipe,RS,Sul,75,0.8343130593422484,0.76,0.04289421067602706,-0.07431305934224841,-1.7324729414774118,0.16568694065775158
3203163,Laranja da Terra,ES,Sudeste,69,0.834561451176158,0.8985507246376812,0.04471604847240784,0.06398927346152317,1.4310135990886566,0.165438548823842
4314001,Paraí,RS,Sul,98,0.8346187393310891,0.6530612244897959,0.03749724311950394,-0.18155751484129323,-4.84188968940112,0.1653812606689109
4125407,São José da Boa Vista,PR,Sul,67,0.8346575167345397,0.7611940298507462,0.04537067805402801,-0.07346348688379345,-1.6191842404539811,0.1653424832654603
2312403,São Gonçalo do Amarante,CE,Nordeste,999,0.8349752639882145,0.8568568568568569,0.01173274126038392,0.02188159286864233,1.8650025925762481,0.16502473601178547
4106571,Cruzeiro do Iguaçu,PR,Sul,38,0.834983436316711,0.868421052631579,0.06016604967884694,0.03343761631486797,0.5557555547248085,0.16501656368328899
4107538,Entre Rios do Oeste,PR,Sul,50,0.8355437603151897,0.96,0.05238137747009886,0.12445623968481023,2.3759634758718255,0.16445623968481027
4119103,Piên,PR,Sul,188,0.8357002249197645,0.8351063829787234,0.027017274790404725,-0.0005938419410410622,-0.021980082952406704,0.16429977508023552
4322251,Tupandi,RS,Sul,64,0.8363968671148705,0.546875,0.04622181144194561,-0.2895218671148705,-6.263749906870454,0.1636031328851295
4107504,Engenheiro Beltrão,PR,Sul,121,0.8364646269044442,0.8264462809917356,0.03360986066317655,-0.01001834591270867,-0.29807757946717456,0.16353537309555577
3161700,São Gonçalo do Abaeté,MG,Sudeste,58,0.8365269611830378,0.8275862068965517,0.048497311945072945,-0.008940754286486108,-0.1843556668998938,0.16347303881696218
3204252,Ponto Belo,ES,Sudeste,85,0.8366087560742751,0.8,0.040075003499794946,-0.03660875607427505,-0.9135059981831909,0.1633912439257249
2300903,Apuiarés,CE,Nordeste,137,0.8366297218406197,0.7445255474452555,0.03157860247003826,-0.09210417439536422,-2.9166640443557483,0.16337027815938032
2702108,Colônia Leopoldina,AL,Nordeste,184,0.8369280559252535,0.7336956521739131,0.027174288855549053,-0.10323240375134046,-3.7988999197033326,0.16307194407474646
4114351,Manfrinópolis,PR,Sul,31,0.8373042486162661,0.7096774193548387,0.06621275996220943,-0.12762682926142732,-1.9275261948643982,0.16269575138373393
2202133,Campo Grande do Piauí,PI,Nordeste,72,0.8374716257091959,0.9583333333333334,0.043417876568848435,0.1208617076241375,2.7836853659226084,0.16252837429080413
4305801,Constantina,RS,Sul,105,0.8377044888519437,0.49523809523809526,0.035954040202827935,-0.34246639361384845,-9.525115722235634,0.1622955111480563
2112852,Vila Nova dos Martírios,MA,Nordeste,167,0.837883688266844,0.7425149700598802,0.02847746809367217,-0.0953687182069638,-3.3489184464455666,0.162116311733156
5103957,Glória D'Oeste,MT,Centro-Oeste,49,0.8380580843337129,0.8367346938775511,0.05258837355729834,-0.0013233904561618104,-0.025165076739250992,0.16194191566628713
4117271,Nova Tebas,PR,Sul,41,0.8380809728404766,0.8536585365853658,0.05749001033129225,0.015577563744889278,0.270961227091836,0.16191902715952344
3171105,Veríssimo,MG,Sudeste,34,0.8385206428641019,0.7647058823529411,0.06302247195487551,-0.07381476051116076,-1.1712450848327973,0.16147935713589812
2202026,Buriti dos Montes,PI,Nordeste,59,0.8385615281284203,0.9830508474576272,0.04788511933053188,0.14448931932920683,3.0174158767748844,0.16143847187157967
4123303,Santa Cruz de Monte Castelo,PR,Sul,107,0.8387647423509274,0.5794392523364486,0.03554086294380612,-0.2593254900144788,-7.296544555614756,0.16123525764907265
5103601,Dom Aquino,MT,Centro-Oeste,82,0.838866084216117,0.7195121951219512,0.04058962609899976,-0.11935388909416578,-2.9405023047775,0.16113391578388303
4313037,Nova Esperança do Sul,RS,Sul,50,0.8393905763607933,0.72,0.05181362415861503,-0.11939057636079331,-2.3042313348957713,0.16060942363920672
2313708,Umari,CE,Nordeste,53,0.8395609942459034,0.8867924528301887,0.05035193318969315,0.047231458584285346,0.9380267169951172,0.16043900575409664
4319000,São Marcos,RS,Sul,152,0.8397836567782242,0.4473684210526316,0.029728712225285503,-0.3924152357255926,-13.199873332953427,0.1602163432217758
4216255,São João do Oeste,SC,Sul,65,0.8400388240866568,0.9230769230769231,0.0453650168995915,0.08303809899026637,1.8304434708810637,0.15996117591334325
4109005,Guapirama,PR,Sul,69,0.8402343333431233,0.7536231884057971,0.04409089080570299,-0.08661114493732613,-1.9643772977733376,0.15976566665687675
3204559,Santa Maria de Jetibá,ES,Sudeste,515,0.8406347837894975,0.8543689320388349,0.016116062628779588,0.013734148249337386,0.8522024619593715,0.15936521621050248
4117107,Nova Londrina,PR,Sul,142,0.8406506561043655,0.7394366197183099,0.030705895906904566,-0.10121403638605564,-3.29624110929447,0.1593493438956345
4107850,Flor da Serra do Sul,PR,Sul,62,0.8407362569074064,0.8548387096774194,0.046463576067164426,0.014102452770012985,0.3035163016645014,0.1592637430925936
2313807,Uruburetama,CE,Nordeste,224,0.8410283544857696,0.8214285714285714,0.02441290712318214,-0.019599783057198228,-0.8028451080529676,0.15897164551423038
