id_municipio,municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,erro_padrao,residuo,residuo_z,risco,residuo_uf,residuo_ajustado,mun_lag_meta_ano_alvo,meta,distancia_ate_meta_pp,prob_nao_atingir,classificacao
3118809,Coração de Jesus,MG,Sudeste,188,0.6422875400416533,0.7925531914893617,0.03494395566569987,0.15026565144770831,4.300190078228762,0.35771245995834666,0.06756418903215056,0.08270146241555776,67.95,0.6795,-3.7212443745883284,0.8565434571013032,risco crítico
5207907,Flores de Goiás,GO,Centro-Oeste,138,0.6458592396048265,0.6666666666666666,0.040709657403110076,0.020807427061840134,0.5111177147919334,0.3541407603951735,0.10274857715476204,-0.08194115009292191,68.9,0.689,-4.314077088559099,0.8553636234658817,risco crítico
4121307,Rancho Alegre,PR,Sul,49,0.7059433114348367,0.8571428571428571,0.06505507869800964,0.1511995457080204,2.3241774314023904,0.2940566885651633,0.07813155795034676,0.07306798775767365,77.46,0.77459997,-6.865665795221776,0.8543701023295471,risco crítico
2927309,Salinas da Margarida,BA,Nordeste,201,0.49352653514760225,0.4577114427860697,0.03526056619993608,-0.035815092361532574,-1.0157265245955551,0.5064734648523977,-0.11217652645487203,0.07636143409333945,53.07,0.53069997,-3.7173433190410443,0.8541156415613231,risco crítico
3124203,Espera Feliz,MG,Sudeste,208,0.695914326809633,0.5961538461538461,0.0318644054151432,-0.09976048065578691,-3.130781175925437,0.30408567319036695,0.06756418903215056,-0.16732466968793747,72.95,0.7295,-3.358566889883252,0.8540627483340694,risco crítico
2905008,Caculé,BA,Nordeste,196,0.5273153199418464,0.47959183673469385,0.035633309648565425,-0.047723483207152584,-1.3392941513944916,0.47268468005815356,-0.11217652645487203,0.06445304324771944,56.48,0.5648,-3.7484704090746335,0.8535903258449488,risco crítico
2920502,Maracás,BA,Nordeste,179,0.5312313990859652,0.43575418994413406,0.03729088988790914,-0.09547720914183111,-2.5603360345870363,0.4687686009140348,-0.11217652645487203,0.016699317313040918,57.02,0.5702,-3.8968626949343665,0.8519863278110615,risco crítico
2605152,Dormentes,PE,Nordeste,169,0.635407969847951,0.834319526627219,0.03701874511247507,0.19891155677926797,5.373265792098287,0.364592030152049,0.056513547646742324,0.14239800913252565,67.39,0.6739,-3.8492038353648117,0.850783253951084,risco crítico
2904407,Brejolândia,BA,Nordeste,94,0.41983252364795437,0.40425531914893614,0.05087640924055277,-0.015577204499018227,-0.3061773566873876,0.5801674763520457,-0.11217652645487203,0.0965993219558538,47.23,0.4723,-5.246746939022312,0.8487936021047034,risco crítico
4300109,Agudo,RS,Sul,162,0.5615230690111817,0.5740740740740741,0.038885126666534375,0.012551005062892417,0.3227713560129447,0.43847693098881835,-0.0742131756906475,0.08676418075353992,60.08,0.60080004,-3.927696837285155,0.8437707768109854,risco crítico
1101476,Primavera de Rondônia,RO,Norte,59,0.7425583050247057,0.576271186440678,0.05688902921661665,-0.16628711858402767,-2.9230085461795343,0.25744169497529434,0.014894352318732818,-0.1811814709027605,80.0,0.8,-5.7441706896223295,0.8436840762942156,risco crítico
5205109,Catalão,GO,Centro-Oeste,951,0.6580957961538038,0.768664563617245,0.015378501295488206,0.11056876746344124,7.189827236018132,0.34190420384619624,0.10274857715476204,0.007820190308679198,67.35,0.6735,-1.5404205276707716,0.8417488435186931,risco crítico
